Num; TCPFlag
0;......
1;.....F
2;....S.
3;....SF
4;...R..
5;...R.F
6;...RS.
7;...RSF
8;..P...
9;..P..F
10;..P.S.
11;..P.SF
12;..PR..
13;..PR.F
14;..PRS.
15;..PRSF
16;.A....
17;.A...F
18;.A..S.
19;.A..SF
20;.A.R..
21;.A.R.F
22;.A.RS.
23;.A.RSF
24;.AP...
25;.AP..F
26;.AP.S.
27;.AP.SF
28;.APR..
29;.APR.F
30;.APRS.
31;.APRSF
32;U.....
33;U....F
34;U...S.
35;U...SF
36;U..R..
37;U..R.F
38;U..RS.
39;U..RSF
40;U.P...
41;U.P..F
42;U.P.S.
43;U.P.SF
44;U.PR..
45;U.PR.F
46;U.PRS.
47;U.PRSF
48;UA....
49;UA...F
50;UA..S.
51;UA..SF
52;UA.R..
53;UA.R.F
54;UA.RS.
55;UA.RSF
56;UAP...
57;UAP..F
58;UAP.S.
59;UAP.SF
60;UAPR..
61;UAPR.F
62;UAPRS.
63;UAPRSF
64;.E......
65;.E.....F
66;.E....S.
67;.E....SF
68;.E...R..
69;.E...R.F
70;.E...RS.
71;.E...RSF
72;.E..P...
73;.E..P..F
74;.E..P.S.
75;.E..P.SF
76;.E..PR..
77;.E..PR.F
78;.E..PRS.
79;.E..PRSF
80;.E.A....
81;.E.A...F
82;.E.A..S.
83;.E.A..SF
84;.E.A.R..
85;.E.A.R.F
86;.E.A.RS.
87;.E.A.RSF
88;.E.AP...
89;.E.AP..F
90;.E.AP.S.
91;.E.AP.SF
92;.E.APR..
93;.E.APR.F
94;.E.APRS.
95;.E.APRSF
96;.EU.....
97;.EU....F
98;.EU...S.
99;.EU...SF
100;.EU..R..
101;.EU..R.F
102;.EU..RS.
103;.EU..RSF
104;.EU.P...
105;.EU.P..F
106;.EU.P.S.
107;.EU.P.SF
108;.EU.PR..
109;.EU.PR.F
110;.EU.PRS.
111;.EU.PRSF
112;.EUA....
113;.EUA...F
114;.EUA..S.
115;.EUA..SF
116;.EUA.R..
117;.EUA.R.F
118;.EUA.RS.
119;.EUA.RSF
120;.EUAP...
121;.EUAP..F
122;.EUAP.S.
123;.EUAP.SF
124;.EUAPR..
125;.EUAPR.F
126;.EUAPRS.
127;.EUAPRSF
128;C.......
129;C......F
130;C.....S.
131;C.....SF
132;C....R..
133;C....R.F
134;C....RS.
135;C....RSF
136;C...P...
137;C...P..F
138;C...P.S.
139;C...P.SF
140;C...PR..
141;C...PR.F
142;C...PRS.
143;C...PRSF
144;C..A....
145;C..A...F
146;C..A..S.
147;C..A..SF
148;C..A.R..
149;C..A.R.F
150;C..A.RS.
151;C..A.RSF
152;C..AP...
153;C..AP..F
154;C..AP.S.
155;C..AP.SF
156;C..APR..
157;C..APR.F
158;C..APRS.
159;C..APRSF
160;C.U.....
161;C.U....F
162;C.U...S.
163;C.U...SF
164;C.U..R..
165;C.U..R.F
166;C.U..RS.
167;C.U..RSF
168;C.U.P...
169;C.U.P..F
170;C.U.P.S.
171;C.U.P.SF
172;C.U.PR..
173;C.U.PR.F
174;C.U.PRS.
175;C.U.PRSF
176;C.UA....
177;C.UA...F
178;C.UA..S.
179;C.UA..SF
180;C.UA.R..
181;C.UA.R.F
182;C.UA.RS.
183;C.UA.RSF
184;C.UAP...
185;C.UAP..F
186;C.UAP.S.
187;C.UAP.SF
188;C.UAPR..
189;C.UAPR.F
190;C.UAPRS.
191;C.UAPRSF
192;CE......
193;CE.....F
194;CE....S.
195;CE....SF
196;CE...R..
197;CE...R.F
198;CE...RS.
199;CE...RSF
200;CE..P...
201;CE..P..F
202;CE..P.S.
203;CE..P.SF
204;CE..PR..
205;CE..PR.F
206;CE..PRS.
207;CE..PRSF
208;CE.A....
209;CE.A...F
210;CE.A..S.
211;CE.A..SF
212;CE.A.R..
213;CE.A.R.F
214;CE.A.RS.
215;CE.A.RSF
216;CE.AP...
217;CE.AP..F
218;CE.AP.S.
219;CE.AP.SF
220;CE.APR..
221;CE.APR.F
222;CE.APRS.
223;CE.APRSF
224;CEU.....
225;CEU....F
226;CEU...S.
227;CEU...SF
228;CEU..R..
229;CEU..R.F
230;CEU..RS.
231;CEU..RSF
232;CEU.P...
233;CEU.P..F
234;CEU.P.S.
235;CEU.P.SF
236;CEU.PR..
237;CEU.PR.F
238;CEU.PRS.
239;CEU.PRSF
240;CEUA....
241;CEUA...F
242;CEUA..S.
243;CEUA..SF
244;CEUA.R..
245;CEUA.R.F
246;CEUA.RS.
247;CEUA.RSF
248;CEUAP...
249;CEUAP..F
250;CEUAP.S.
251;CEUAP.SF
252;CEUAPR..
253;CEUAPR.F
254;CEUAPRS.
255;CEUAPRSF
